arm,kind,objective_status,aggregation,relative_token,relative_coordinate,mean,sem,sem_between_events,sem_between_rollouts,n_units,n_rollouts,n_events
L22_SV32,matched_control_event_mean,all,rollout_weighted,-14,generated_local_index,-0.10107851352378625,0.0849406670937451,,0.0849406670937451,20,20,52
L22_SV32,matched_control_event_mean,all,rollout_weighted,-13,generated_local_index,-0.10704542404784737,0.09280162681242243,,0.09280162681242243,20,20,52
L22_SV32,matched_control_event_mean,all,rollout_weighted,-12,generated_local_index,-0.2291021559395839,0.0724724431911447,,0.0724724431911447,20,20,53
L22_SV32,matched_control_event_mean,all,rollout_weighted,-11,generated_local_index,-0.22040870889935368,0.08101483772406971,,0.08101483772406971,20,20,53
L22_SV32,matched_control_event_mean,all,rollout_weighted,-10,generated_local_index,-0.07832177348799998,0.08855917480841499,,0.08855917480841499,20,20,54
L22_SV32,matched_control_event_mean,all,rollout_weighted,-9,generated_local_index,-0.11316320642513233,0.06583741620656446,,0.06583741620656446,20,20,54
L22_SV32,matched_control_event_mean,all,rollout_weighted,-8,generated_local_index,-0.06422148733765654,0.06361918703757909,,0.06361918703757909,20,20,55
L22_SV32,matched_control_event_mean,all,rollout_weighted,-7,generated_local_index,-0.14407101910501074,0.07477361650466482,,0.07477361650466482,20,20,57
L22_SV32,matched_control_event_mean,all,rollout_weighted,-6,generated_local_index,-0.07455196288507691,0.08779366562846481,,0.08779366562846481,20,20,57
L22_SV32,matched_control_event_mean,all,rollout_weighted,-5,generated_local_index,-0.1636619008114172,0.09313613724363858,,0.09313613724363858,20,20,58
L22_SV32,matched_control_event_mean,all,rollout_weighted,-4,generated_local_index,-0.13802849129117767,0.06593932011498492,,0.06593932011498492,20,20,58
L22_SV32,matched_control_event_mean,all,rollout_weighted,-3,generated_local_index,-0.231158576938634,0.09402154585528379,,0.09402154585528379,20,20,58
L22_SV32,matched_control_event_mean,all,rollout_weighted,-2,generated_local_index,-0.40295474864077424,0.09447662418842258,,0.09447662418842258,20,20,58
L22_SV32,matched_control_event_mean,all,rollout_weighted,-1,generated_local_index,0.17607662838702587,0.07940815471863963,,0.07940815471863963,20,20,58
L22_SV32,matched_control_event_mean,all,rollout_weighted,0,generated_local_index,0.8004030744276353,0.07255862570937247,,0.07255862570937247,20,20,58
L22_SV32,matched_control_event_mean,all,rollout_weighted,1,generated_local_index,-0.22290672019002042,0.08024510800380107,,0.08024510800380107,19,19,46
L22_SV32,matched_control_event_mean,all,rollout_weighted,2,generated_local_index,-0.1750948272293899,0.07440602418550625,,0.07440602418550625,19,19,46
L22_SV32,matched_control_event_mean,all,rollout_weighted,3,generated_local_index,-0.20192782655097824,0.06311815955393665,,0.06311815955393665,19,19,45
L22_SV32,matched_control_event_mean,all,rollout_weighted,4,generated_local_index,-0.0929547659276236,0.07217080512459567,,0.07217080512459567,18,18,41
L22_SV32,matched_control_event_mean,all,rollout_weighted,5,generated_local_index,-0.06284424829203089,0.09125229513574296,,0.09125229513574296,18,18,39
L22_SV32,matched_control_event_mean,all,rollout_weighted,6,generated_local_index,0.08421988124796237,0.06968681516231541,,0.06968681516231541,18,18,38
L22_SV32,matched_control_event_mean,all,rollout_weighted,7,generated_local_index,0.035354288279286716,0.06617506145186515,,0.06617506145186515,18,18,36
L22_SV32,matched_control_event_mean,all,rollout_weighted,8,generated_local_index,0.0059984806517436135,0.0580478004832741,,0.0580478004832741,18,18,36
L22_SV32,matched_control_event_mean,all,rollout_weighted,9,generated_local_index,-0.18840132223467065,0.0935398904103204,,0.0935398904103204,18,18,34
L22_SV32,matched_control_event_mean,all,rollout_weighted,10,generated_local_index,0.00731545890472436,0.08279488901251872,,0.08279488901251872,18,18,32
L22_SV32,matched_control_event_mean,all,rollout_weighted,11,generated_local_index,-0.07521184096770454,0.08951555656086671,,0.08951555656086671,18,18,31
L22_SV32,matched_control_event_mean,all,rollout_weighted,12,generated_local_index,0.01527049226045061,0.08609433154799076,,0.08609433154799076,18,18,31
L22_SV32,matched_control_event_mean,all,rollout_weighted,13,generated_local_index,-0.009301444610104952,0.09556438032307196,,0.09556438032307196,18,18,31
L22_SV32,matched_control_event_mean,all,rollout_weighted,14,generated_local_index,-0.0585672580186479,0.11283663790636045,,0.11283663790636045,18,18,31
L22_SV32,matched_control_event_mean,all,rollout_weighted,15,generated_local_index,0.06607210912551842,0.07849893490155062,,0.07849893490155062,17,17,30
L22_SV32,matched_control_event_mean,all,rollout_weighted,16,generated_local_index,-0.028886446985451737,0.10476246087021601,,0.10476246087021601,17,17,29
