layer,set,dir,name,gamma_J,fSf_J,inv_J,gamma_R,g0_med,g0sq_over_fSf,snr_a0,alpha_star,corr_pred,template_stability,flip_frac
10,rand,38,L10:rand:07,40.54049954387603,36.74564531393909,0.884573987251345,10.39046937146459,1.8738581134085948,0.12485009637312157,1.2853844165802001e+31,nan,0.4178022270633058,0.04830405116081238,nan
10,rand,39,L10:rand:08,39.46751913990671,37.87286833965126,0.9358831266308895,10.357072953683298,1.8312436340378517,0.1029111931440693,1.2535602569580077e+31,1.0,0.4386659678777414,0.04289624094963074,nan
10,shared,52,L10:shared:01,77.06491104677785,434.5870850670615,5.566996480744715,30.201858440708495,3.6647806248359425,0.040176958999650535,2.5494845390319824e+31,0.5,0.2715449081184992,0.03763188049197197,nan
10,shared,53,L10:shared:02,89.46758939239581,513.4817407995324,5.675864077380764,27.885455109099865,3.816642760565796,0.036982841521568666,2.4369730949401855e+31,0.5,0.5197670529414083,0.034804679453372955,nan
10,shared,54,L10:shared:03,64.79327960829261,597.0769475484974,9.07504461098853,26.231533207370624,2.8905324314115477,0.02504080644022585,1.9586516380310058e+31,1.0,0.1247665661026592,0.030826358124613762,nan
10,shared,55,L10:shared:04,57.16655639037411,936.665539269475,16.103163009740804,25.254716560080187,2.365230788557069,0.010392163867474817,1.7593448638916013e+31,1.0,0.47741805254458775,0.036822400987148285,nan
10,topG,0,L10:topG:01,324.196697073478,1443.4407498807282,4.438669773926343,12.584445646848671,4.400452615609316,0.11942857869999025,3.3615606307983394e+31,0.2,-0.1324043986016104,0.11386822164058685,nan
10,topG,1,L10:topG:02,57.16655639036664,936.6655392693546,16.103163009740804,25.25471656008342,2.365230788557069,0.010392163867476153,1.7593448638916013e+31,1.0,0.47741805254458775,0.036822400987148285,nan
10,topG,2,L10:topG:03,52.25857034558677,710.8340155074171,13.346847481915553,9.94732912095703,3.220633739360753,0.03078028384745674,2.1838451385498045e+31,1.0,0.2990772360380367,0.0504644438624382,nan
10,topG,3,L10:topG:04,16.592958840470317,723.7356200034836,41.137799875858505,8.412269039627462,3.200381577068211,0.02254076558566707,2.261573600769043e+31,1.0,0.2700006179981778,0.09199129045009613,nan
