rank,metric,layer,sv_rank,n_events,n_rollouts,event_weighted_mean,rollout_weighted_mean,rollout_sd,rollout_se,standardized_rollout_effect,rollout_consistency,event_consistency,bootstrap_ci_low,bootstrap_ci_high,permutation_p_two_sided,permutation_p_directional,correct_n_events,correct_n_rollouts,correct_rollout_weighted_mean,correct_rollout_consistency,incorrect_n_events,incorrect_n_rollouts,incorrect_rollout_weighted_mean,incorrect_rollout_consistency,ambiguous_n_events,ambiguous_rollout_weighted_mean,status_preservation_ratio,rank_score,permutation_p_holm
431,delta,6,16,45,19,1.4236723449495103,1.9955267351970336,8.740777924014088,2.0052719820372973,0.22830081630544552,0.42105263157894735,0.5333333333333333,-1.5055317586189823,6.129860498612387,0.3608639136086391,0.17738226177382263,24,14,1.5391008059183757,0.5714285714285714,17,13,-3.040216170824491,0.6153846153846154,4,7.070331126451492,0.0,0.0405534344753094,1.0
432,delta,18,21,45,19,-3.439529938167996,-2.361777535656042,11.920686118034801,2.734792954009572,-0.19812429521845307,0.631578947368421,0.6,-7.276150840416289,3.1630594637310288,0.39876012398760124,0.19978002199780023,24,14,-6.779709713799613,0.6428571428571429,17,13,3.5727330354543834,0.5384615384615384,4,-4.294828176498413,0.0,0.04040692863007924,1.0
433,delta,17,17,45,19,-2.4824240684509276,-1.271142089576052,10.520534608494316,2.4135761679183663,-0.12082485699440858,0.6842105263157895,0.6222222222222222,-5.867370010990846,3.3791107401513196,0.6004399560043996,0.2967703229677032,24,14,-0.24897340933481843,0.6428571428571429,17,13,-1.2592212787041297,0.46153846153846156,4,-4.497988939285278,0.19586591568048495,0.04038342542124822,1.0
434,delta,12,17,45,19,2.7442867120107013,1.0529076802103143,9.57526222933276,2.196715811345446,0.10996123709122532,0.5789473684210527,0.6222222222222222,-3.3221858843899605,5.023078377414166,0.6432356764323568,0.3157684231576842,24,14,0.30136369665463747,0.5,17,13,4.342522489718902,0.7692307692307693,4,-2.509450078010559,0.2862204372889,0.04033829549732805,1.0
435,delta,18,23,45,19,0.9472808175616794,2.0880151234175033,10.25802886429948,2.35335321996867,0.20354935154104714,0.5789473684210527,0.6,-2.573857445622745,6.366599098684493,0.38236176382361764,0.19038096190380963,24,14,2.998979344254448,0.6428571428571429,17,13,-3.238672818893041,0.5384615384615384,4,12.069870233535767,0.0,0.04017421411994351,1.0
436,delta,12,2,45,19,-2.2672156956460743,-1.7479068785905838,8.314899126073223,1.907568685067781,-0.21021384049141756,0.5263157894736842,0.6222222222222222,-5.385419325857309,1.8672683593800714,0.3762623737626237,0.18618138186181382,24,14,0.6471234701928638,0.5714285714285714,17,13,-2.519002710397427,0.6923076923076923,4,-6.606283903121948,0.0,0.04010658798849413,1.0
437,delta,1,19,45,19,0.1350408398442798,0.2969623540054288,1.4250707914092016,0.3269336614286442,0.2083842822374974,0.5263157894736842,0.4444444444444444,-0.3127732741858876,0.9176972692080754,0.37666233376662334,0.18948105189481051,24,14,0.44331271077195805,0.5714285714285714,17,13,-0.48985296946305495,0.6923076923076923,4,0.4970622956752777,0.0,0.039757527532154106,1.0
438,delta,19,11,45,19,-4.933829307556152,-3.7853356118787795,20.129170964628187,4.617948529056179,-0.18805223615669656,0.6842105263157895,0.6,-12.268012915577804,5.025974068411607,0.4276572342765723,0.21107889211078892,24,14,-3.2795072623661587,0.6428571428571429,17,13,0.4580379021473421,0.46153846153846156,4,-26.33257782459259,0.0,0.039589944454041376,1.0
439,delta,3,3,45,19,-0.26293620069821677,-0.06211043240731224,1.1999081206247346,0.27527780207037,-0.05176265693991163,0.5263157894736842,0.4444444444444444,-0.5579457168385648,0.49210067444987465,0.8335166483351665,0.42775722427757223,24,14,-0.10629019921734219,0.42857142857142855,17,13,-0.12517865804525521,0.38461538461538464,4,-0.4535904973745346,1.0,0.03950308029624835,1.0
440,delta,12,3,45,19,0.4127496454450819,-1.811965010668102,8.831170075329226,2.026009363767398,-0.2051783620077719,0.5263157894736842,0.4444444444444444,-5.826869716639059,1.8184936583303564,0.38846115388461155,0.19508049195080493,24,14,1.0866732866991133,0.5714285714285714,17,13,-1.897787500650455,0.6153846153846154,4,-5.735445499420166,0.0,0.03914587169885121,1.0
