sv_index_zero_based,sv_rank,sv_label,n_layer_pairs,mean_same_rank_abs_cosine,median_same_rank_abs_cosine,min_same_rank_abs_cosine,max_same_rank_abs_cosine,exact_rank_best_match_rate,mean_same_rank_fraction_of_best,mean_best_abs_cosine,raw_sign_flip_rate,mean_abs_rank_offset,n_adjacent_pairs,adjacent_mean_same_rank_abs_cosine,adjacent_exact_rank_best_match_rate,adjacent_raw_sign_flip_rate
39,39,SV39,253,0.16771014924861982,0.055833178252373966,9.149760375037463e-05,0.9909801693803368,0.13043478260869565,0.32679589078897203,0.3728413197942078,0.5454545454545454,15.225296442687746,22,0.4582151008103018,0.4090909090909091,0.4090909090909091
40,40,SV40,253,0.1544315828754207,0.04209628580392837,4.1825414039832476e-05,0.9929171512932282,0.1225296442687747,0.29292795111447295,0.37568112087583866,0.4308300395256917,15.743083003952568,22,0.4488194905444185,0.4090909090909091,0.4090909090909091
41,41,SV41,253,0.13528176947726242,0.05084739418030646,0.0006054874536990927,0.986696683687423,0.07114624505928854,0.2801748839489344,0.35382661656072223,0.4150197628458498,16.49407114624506,22,0.41723339901844003,0.36363636363636365,0.3181818181818182
42,42,SV42,253,0.14659360513529712,0.05198690750327612,0.00015531845932914567,0.9775278055141512,0.09090909090909091,0.3319127139804326,0.3381562305424662,0.5098814229249012,16.885375494071145,22,0.44495536628255317,0.36363636363636365,0.5454545454545454
43,43,SV43,253,0.14799318083489457,0.04983525654788017,0.00021577647580280426,0.9759747089675155,0.1225296442687747,0.30463888950785384,0.35233637951258895,0.45454545454545453,16.675889328063242,22,0.4396163397679049,0.5454545454545454,0.3181818181818182
44,44,SV44,253,0.15894598154895442,0.05149675307550067,0.00019668708117592283,0.9774957561365769,0.1225296442687747,0.36277148505102563,0.32107968046017593,0.49407114624505927,17.952569169960473,22,0.4268846994206808,0.4090909090909091,0.5
45,45,SV45,253,0.11517171247836226,0.040150937331625294,2.381165250513878e-06,0.9544373639028766,0.07905138339920949,0.26026774323005614,0.3404225244430064,0.4743083003952569,18.42687747035573,22,0.3799827484015813,0.36363636363636365,0.3181818181818182
46,46,SV46,253,0.12211234251501685,0.053181818140201724,0.0004940663643256175,0.9674573380726306,0.05138339920948617,0.27270387398620305,0.34115116422664415,0.47035573122529645,19.047430830039527,22,0.40050175345788686,0.36363636363636365,0.4090909090909091
47,47,SV47,253,0.11838590311657748,0.04878217027545894,0.00031150017062185273,0.963748840525121,0.05533596837944664,0.27751494090445605,0.3444253376044914,0.4782608695652174,18.14624505928854,22,0.3643523917713626,0.2727272727272727,0.2727272727272727
48,48,SV48,253,0.13327992796673835,0.048926283573204346,0.0001791579992642886,0.9641742694319511,0.08300395256916997,0.31207719280887214,0.3215715779507488,0.4505928853754941,18.40316205533597,22,0.37738321383685586,0.36363636363636365,0.36363636363636365
49,49,SV49,253,0.11688411184959105,0.044814375534315054,0.0003488671054237462,0.9815198154082937,0.05138339920948617,0.28321534737965376,0.3276075647017019,0.5454545454545454,18.695652173913043,22,0.3479383372768497,0.2727272727272727,0.45454545454545453
50,50,SV50,253,0.1363326468024994,0.05211041081545171,6.102442261882168e-05,0.965718473230494,0.09881422924901186,0.2956363258027522,0.34556688918221395,0.4980237154150198,20.865612648221344,22,0.4370192610265905,0.45454545454545453,0.5454545454545454
51,51,SV51,253,0.11971628493851409,0.03887359912531383,0.0006342959124174012,0.9319876660542026,0.08695652173913043,0.2942790060138832,0.30788348957560274,0.4901185770750988,19.292490118577074,22,0.40769263081771273,0.45454545454545453,0.5454545454545454
52,52,SV52,253,0.11556304176634206,0.05643550709309926,0.0006749437183267669,0.9727846635701429,0.05138339920948617,0.2824170042531407,0.32841166215620476,0.5296442687747036,19.454545454545453,22,0.33244908231750603,0.3181818181818182,0.5454545454545454
53,53,SV53,253,0.10120160389194473,0.047143080870459056,0.0019295545458610838,0.9674530567160278,0.043478260869565216,0.26246136639618317,0.3207537621161936,0.43478260869565216,21.545454545454547,22,0.3454131037134939,0.36363636363636365,0.36363636363636365
54,54,SV54,253,0.12374381049866189,0.04142995393292313,5.2405346512626044e-06,0.9620703803727186,0.09090909090909091,0.28380679786193186,0.33413236373975985,0.5454545454545454,21.31225296442688,22,0.35567893022196284,0.3181818181818182,0.4090909090909091
55,55,SV55,253,0.1053178125436218,0.03880439825261456,0.00033595435348716864,0.9662011360350552,0.05533596837944664,0.2539480877400267,0.3254697213137613,0.4624505928853755,21.40711462450593,22,0.3866838875744369,0.3181818181818182,0.45454545454545453
56,56,SV56,253,0.1392567069530278,0.051813221813591825,0.00026030331378168025,0.9865979514006843,0.07509881422924901,0.299717857070914,0.3379069984576416,0.4980237154150198,22.197628458498023,22,0.42461334033577547,0.4090909090909091,0.2727272727272727
57,57,SV57,253,0.12948775555219885,0.04173024233807883,0.00040410281447790346,0.9733155514179749,0.07905138339920949,0.3054989013921232,0.30700178351349877,0.5098814229249012,21.41501976284585,22,0.4622378775472277,0.5454545454545454,0.6363636363636364
58,58,SV58,253,0.10159184418703203,0.03892391521192667,0.000271291552790676,0.9612864464353648,0.05928853754940711,0.25773598594103003,0.3146845568665864,0.4426877470355731,22.25296442687747,22,0.30042778467199543,0.22727272727272727,0.36363636363636365
59,59,SV59,253,0.1285798404574947,0.046372801849781015,0.00031805259374037553,0.9429947512953215,0.07509881422924901,0.3073679183229315,0.3197678700496629,0.4743083003952569,22.063241106719367,22,0.36464337514881834,0.22727272727272727,0.5
60,60,SV60,253,0.10429807388603198,0.05020030237454559,0.0003341340166924658,0.9067504669620423,0.04743083003952569,0.28724513600784285,0.29442691903209456,0.549407114624506,23.49802371541502,22,0.3337905426837646,0.3181818181818182,0.4090909090909091
61,61,SV61,253,0.10566030760290619,0.04146133633841723,0.00011694113617463468,0.8964792174410287,0.06324110671936758,0.26786556668298617,0.2999288920519826,0.45454545454545453,22.845849802371543,22,0.31729153982824476,0.2727272727272727,0.5454545454545454
62,62,SV62,253,0.11630271442743695,0.049267109514277374,4.873927030215252e-05,0.9160962002759472,0.06719367588932806,0.2948991592600238,0.3112931252263784,0.4901185770750988,23.272727272727273,22,0.3986401063510399,0.45454545454545453,0.36363636363636365
63,63,SV63,253,0.10547353398598473,0.039018878245518654,0.00020667204820854943,0.9313478963114227,0.07509881422924901,0.27377223459621375,0.2899602664167756,0.48616600790513836,23.3399209486166,22,0.3957119169880943,0.4090909090909091,0.2727272727272727
